Town,Reference Number,Exempt Code,Exempt Code Description,Address,Owner or Facility,Acres,Volume and Page,Land Assessment,Building Assessment,Total Assessment,OPM Assessment,Location
Hartford,201426040,OABX,"Administrative (office buildings, court houses, any others)",00055 FARMINGTON AVE,STATE OF CONN,1.27,6663/121,"$1,150,870","$10,975,720","$12,126,590","$12,126,590",POINT (-72.687669039 41.767762011)
Durham,C0052100,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 HIGGANUM RD,CONNECTICUT STATE OF,38.62,92/453,"$187,390",$0,"$187,390","$187,390",POINT (-72.650088818 41.465250088)
Harwinton,577,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 LAUREL RD,CONNECTICUT STATE OF,2.52,93/293,"$55,750",$0,"$55,750","$55,750",POINT (-73.030472348 41.748636346)
Easton,00297911,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 BLACK ROCK ROAD,STATE OF CONNECTICUT,300.01,309/263,"$81,900",$0,"$81,900","$81,900",POINT (-73.320495412 41.246493324)
Bridgeport,0005600,BFBX,,00000 LORDSHIP BLVD,Sikorsky Airport (Located in Stratford),109.82,4100/50,"$461,230",$0,"$461,230","$230,615",POINT (-73.140582017 41.165319372)
Farmington,17600139,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00139 SOUTH RD,CONNECTICUT STATE OF DOT,4,0/0,"$813,400","$618,520","$1,431,920","$1,431,920",POINT (-72.782613036 41.724522999)
Haddam,L0362200,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00014 LITTLE MEADOW RD,CONN STATE OF,4,299/806,"$705,600","$93,590","$799,190","$799,190",POINT (-72.465628987 41.449685004)
Ellington,00390900,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00103 PORTER RD,CONNECTICUT STATE OF,21.07,387/316,"$21,990",$0,"$21,990","$21,990",POINT (-72.434968328 41.935493025)
Hampton,00049000,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 GRIFFIN RD,CONNECTICUT STATE OF,42,35/380,"$110,920",$0,"$110,920","$110,920",POINT (-72.068237367 41.820830629)
Columbia,00044300,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 RT 66 EAST,CONN STATE OF,7,51/510,"$22,820",$0,"$22,820","$22,820",POINT (-72.266534287 41.717091436)
Griswold,00532900,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",01880 GLASGO RD,CONNECTICUT STATE OF,44,43/219,"$38,500","$236,740","$275,240","$275,240",POINT (-71.884537037 41.561049987)
Branford,11157,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 PLEASANT POINT RD,CONNECTICUT STATE OF,2,265/525,"$1,500",$0,"$1,500","$1,500",POINT (-72.764835192 41.273976601)
Avon,3180401,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",401 MONTEVIDEO RD,CONNECTICUT STATE OF (DEP),0.58,55/90,"$20,300",$0,"$20,300","$20,300",POINT (-72.798079575 41.814345479)
East Haddam,00501900,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 EH COLCHESTER TPKE,CONN STATE OF,2.95,334/106,$620,$0,$620,$620,POINT (-72.402256551 41.512322578)
East Hampton,R20030,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 LYMAN RD,CONNECTICUT STATE OF,34.52,0/0,"$233,100",$0,"$233,100","$233,100",POINT (-72.50529 41.57999)
East Haddam,00427500,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 MOTT LANE,CONN STATE OF,0.84,77/41,"$76,450",$0,"$76,450","$76,450",POINT (-72.411886512 41.515218315)
Cheshire,00527400,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 TRESS RD,STATE OF CONNECTICUT,3,1011/291,"$25,200",$0,"$25,200","$25,200",POINT (-72.933258554 41.509343458)
Essex,00064400,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 PINE LAKE RD,CONNECTICUT STATE OF,1.46,93/825,"$3,200",$0,"$3,200","$3,200",POINT (-72.467676802 41.332520264)
East Haven,C9022000,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00084 MORGAN AVE,STATE OF CONNECTICUT,1.37,0/0,"$385,000",$0,"$385,000","$385,000",POINT (-72.89122461 41.244370257)
Griswold,C0464400,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",01072 HOPEVILLE RD,CONNECTICUT STATE OF,107.5,40/9,"$226,240","$157,290","$383,530","$383,530",POINT (-71.909246972 41.611252013)
East Haven,C9006110,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00348 FOXON RD,STATE OF CONNECTICUT,0.3,0/0,"$4,200",$0,"$4,200","$4,200",POINT (-72.837221282 41.324273846)
East Hartford,00017213,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00166 SILVER LN REAR,STATE OF CONNECTICUT,2.78,142/236,"$19,500",$0,"$19,500","$19,500",POINT (-72.637392959 41.761499011)
Hamden,2524090000000,OEBX,"Health Care (Mental illness, tuberculosis and chronic diseases, alcoholic clinic, veteran's home and hospital, emotionally disturbed children, any others)",00176 COOPER LA,CONNECTICUT STATE OF,0.54,1225/282,"$46,970","$174,580","$221,550","$221,550",POINT (-72.948269031 41.370174983)
Cheshire,00787400,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 ROARING BROOK RD,CONNECTICUT STATE OF,22,374/70,"$291,360",$0,"$291,360","$291,360",POINT (-72.932309484 41.482243777)
Beacon Falls,00118800,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 LOPUS RD,CONN STATE OF,4.77,43/472,"$165,280",$0,"$165,280","$165,280",POINT (-73.068501708 41.438523243)
Haddam,S0558400,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 SAYBROOK RD,CONN STATE OF MUNICIPAL DIV,1,0/0,"$63,700",$0,"$63,700","$63,700",POINT (-72.480634001 41.465971573)
Canterbury,00212800,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 WAUREGAN RD,CONNECTICUT STATE OF,15,80/156,"$21,800",$0,"$21,800","$21,800",POINT (-71.940832837 41.740203578)
Granby,06700227R,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00227R HARTLAND RD,CONNECTICUT STATE OF,3.38,317/813,"$42,280",$0,"$42,280","$42,280",POINT (-72.871713452 41.972675418)
Hartland,98100914,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 WEST ST,STATE OF CONNECTICUT,0.5,43/200,$700,$0,$700,$700,POINT (-72.98012409 42.012554123)
Enfield,002400020150,OCBX,"Correction (State prison, jail, reformatory, any others)",00298 SHAKER RD,OSBORN STATE PRISON FARM,0.93,73/304,"$73,100","$156,600","$229,700","$229,700",POINT (-72.514003968 42.014140008)
Kent,00094400,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 KENT CORNWALL RD,CONNECTICUT STATE OF,11.7,68/247,"$140,900","$8,900","$149,800","$149,800",POINT (-73.440122091 41.756142151)
Danbury,J13057,ODBX,"Education (Colleges, vocational trade schools, practice training schools, state institutions for mentally retarded and epileptic persons, state schools for the",00190 WHITE ST,STATE OF CONNECTICUT,0.23,471/461,"$285,390",$0,"$285,390","$285,390",POINT (-73.443719974 41.398315002)
Hartford,268357032,OABX,"Administrative (office buildings, court houses, any others)",00450 COLUMBUS BLVD,STATE OF CONN,1.7,6722/77,"$3,498,950","$23,953,510","$27,452,460","$27,452,460",POINT (-72.668942023 41.767399996)
Hamden,2625007000000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00501 PARADISE AVE,CONNECTICUT STATE OF,7.28,597/718,"$115,430",$0,"$115,430","$115,430",POINT (-72.934568977 41.379522021)
Burlington,00066700,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00148 PUNCH BROOK RD,CONNECTICUT STATE OF,54,0/0,"$9,070",$0,"$9,070","$9,070",POINT (-72.93633999 41.761975983)
Hartland,98100919,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 GRANVILLE RD,STATE OF CONNECTICUT,34.8,60/479,"$48,720",$0,"$48,720","$48,720",POINT (-72.891415232 42.015538607)
East Hartford,00017217,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00130 EAST RIVER DR,STATE OF CONNECTICUT,1.56,1122/309,"$29,760",$0,"$29,760","$29,760",POINT (-72.662492519 41.767101664)
Easton,00297940,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 BLACK ROCK ROAD,STATE OF CONNECTICUT,0.47,382/274,"$154,980",$0,"$154,980","$154,980",POINT (-73.320495412 41.246493324)
Essex,00063100,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 DENNISON RD,CONN STATE OF,0.7,65/56,"$53,100",$0,"$53,100","$53,100",POINT (-72.409360643 41.358865632)
Bristol,0243191,ODBX,"Education (Colleges, vocational trade schools, practice training schools, state institutions for mentally retarded and epileptic persons, state schools for the",00431 MINOR ST,STATE OF CONNECTICUT,15.56,685/946,"$581,630","$4,283,230","$4,864,860","$4,864,860",POINT (-72.989893981 41.689735)
Hamden,3025010000000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",01140 HILL ST,CONNECTICUT STATE OF,7.26,4290/20,"$1,220",$0,"$1,220","$1,220",POINT (-72.938812188 41.393199497)
Beacon Falls,00177250,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 SOUTH MAIN ST,CONN STATE OF DEP,9.6,131/226,"$27,420",$0,"$27,420","$27,420",POINT (-73.059924013 41.43508369)
Groton,169707586399 E,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",DEPOT RD,CONNECTICUT STATE OF,276.72,205/4,"$39,546,360",$0,"$39,546,360","$39,546,360",POINT (-72.033773196 41.343494274)
Ellington,00337400,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 PORTER RD,CONNECTICUT STATE OF,5.19,387/320,"$11,220",$0,"$11,220","$11,220",POINT (-72.434262597 41.935768719)
Hampton,00194100,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 NO BIGELOW RD,CONNECTICUT STATE OF,0.52,0/369,"$25,170",$0,"$25,170","$25,170",POINT (-72.044627839 41.793420814)
Hartford,269077030,OABX,"Administrative (office buildings, court houses, any others)",00194-196 COLUMBUS BLVD,STATE OF CONN ADRIAEN`S LANDING,0.17,4287/120,"$286,160","$5,880","$292,040","$292,040",POINT (-72.669359023 41.763685011)
Danbury,G21007,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 SPRUCE MT RD,STATE OF CONNECTICUT,13.9,194/301,"$147,280",$0,"$147,280","$147,280",POINT (-73.480650728 41.362996967)
Fairfield,17182,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",01641 BURR STREET,STATE OF CONNECTICUT,0.3,0/0,"$10,430",$0,"$10,430","$10,430",POINT (-73.285723106 41.193891789)
Fairfield,19912,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00028 ELIOT STREET,STATE OF CONNECTICUT,0.11,722/643,"$24,570",$0,"$24,570","$24,570",POINT (-73.24944489 41.147867086)
Derby,4780,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",ROOSEVELT DR,STATE OF CONNECTICUT,45,135 400,"$507,500","$1,160,120","$1,667,620","$1,667,620",POINT (-73.110300864 41.330917251)
Canaan,14105070,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 CANAAN MOUNTAIN RD,CONNECTICUT STATE OF,17.48,27/494,"$55,100",$0,"$55,100","$55,100",POINT (-73.2815 41.98482)
Canterbury,00000700,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 HANOVER RD,CONNECTICUT STATE OF,15.3,131/413,"$52,100",$0,"$52,100","$52,100",POINT (-72.059638282 41.661633527)
Columbia,00044200,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 RT 6 (REAR),CONN STATE OF,5.77,51/510,"$22,190",$0,"$22,190","$22,190",POINT (-72.30820907 41.725095485)
Guilford,8796,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 NECK RD,STATE OF CONN,10.8,139/147,"$194,600",$0,"$194,600","$194,600",POINT (-72.655855825 41.266316509)
Beacon Falls,00177450,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 SOUTH MAIN ST,CONN STATE OF,1.02,43/261,"$59,770",$0,"$59,770","$59,770",POINT (-73.059924013 41.43508369)
Hartford,222281068,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00060 HUNTLEY PL,STATE OF CONN HIGHWAY DEPT,0.25,3358/332,"$206,290",$0,"$206,290","$206,290",POINT (-72.680716438 41.77151885)
Colchester,C0517000,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 MIDLAND DR,CONNECTICUT STATE OF,0.14,0/0,"$31,900",$0,"$31,900","$31,900",POINT (-72.330768224 41.564623849)
Granby,06700275,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00275 HARTLAND RD,CONNECTICUT STATE OF,86.3,114/414,"$23,560",$0,"$23,560","$23,560",POINT (-72.880619443 41.975292014)
Hartford,201321007,OABX,"Administrative (office buildings, court houses, any others)",00092 FARMINGTON AVE,STATE OF CONN OFFICE BUILDING,0.4,1034/671,"$358,610","$2,160,690","$2,519,300","$2,519,300",POINT (-72.689499982 41.76849702)
East Haddam,00001600,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 CONN RIVER RD,CONN STATE OF,1.44,0/0,"$21,460",$0,"$21,460","$21,460",POINT (-72.433862853 41.435694182)
Easton,00033400,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 ANDREWS ROAD,STATE OF CONNECTICUT,11.54,382/277,"$3,150",$0,"$3,150","$3,150",POINT (-73.275126855 41.269358751)
Canterbury,00145900,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00001 SO CANTERBURY RD,CONNECTICUT STATE OF,1,53/259,"$23,000","$876,800","$899,800","$899,800",POINT (-71.971643032 41.698079017)
